player,team,position,role,owner_status,roster_status,age,fpts,fpg_raw,fpg_regressed,ros_pct,rkov,estimated_games,sample_confidence,win_now_score,dynasty_score,dynasty_minus_win_now,forward_fpg,ros_vor,ip,ip_pct,whip,k_per_9,qs_rate,prospect_bonus,age_curve,mlb_overall_rank,mlb_org_rank,asset_value,asset_confidence,baseline_confidence,career_baseline,two_way,asset_blend_alpha,prospect_phase,prospect_bonus_applied,dynasty_gap,dynasty_signal
Gordon Graceffo,STL,RP,RP,FA,Free Agent,26.0,108.0,2.63,2.63,9.0,440.0,41.06,1.0,35.08,26.79,-8.3,2.63,-0.9,48.1,69.08,1.06,4.86,0.0,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
DL Hall,MIL,RP,RP,FA,Free Agent,27.0,74.0,3.08,3.08,10.0,605.0,24.03,1.0,35.06,25.73,-9.33,3.08,-0.45,31.0,42.66,1.23,9.29,0.0,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Daniel Palencia,CHC,RP,RP,KRetiree,Reserve,26.0,54.0,2.84,2.91,77.0,714.0,19.01,0.79,34.93,37.72,2.79,2.91,-0.62,16.2,27.72,1.42,10.56,0.0,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Jack Herman,(N/A),OF,H,FA,Free Agent,26.0,0.0,0.0,1.8,69.0,4687.0,0.0,0.0,34.91,37.27,2.36,1.8,-0.65,,,,,,0.0,6.0,,,,,,,,0.0,1.0,0.0,,
Rikelbin De Castro,(N/A),SS,H,FA,Free Agent,23.0,0.0,0.0,1.8,62.0,3101.0,0.0,0.0,34.8,41.95,7.15,1.8,-0.65,,,,,,0.0,12.0,,,,,,,,0.0,1.0,0.0,,
Jeff McNeil,ATH,"2B,OF",H,FA,Free Agent,34.0,136.0,1.56,1.56,28.0,342.0,87.18,1.0,34.78,22.0,-12.78,1.56,-0.89,,,,,,0.0,-5.0,,,,,,,,0.0,1.0,0.0,,
Mark Vientos,NYM,"1B,3B",H,Greenbet,Reserve,26.0,125.5,1.72,1.72,37.0,379.0,72.97,1.0,34.71,33.85,-0.87,1.72,-0.73,,,,,,0.0,6.0,,,,,,,,0.0,1.0,0.0,,
Wes Clarke,(N/A),1B,H,FA,Free Agent,26.0,0.0,0.0,1.8,67.0,2697.0,0.0,0.0,34.65,36.77,2.12,1.8,-0.65,,,,,,0.0,6.0,,,,,,,,0.0,1.0,0.0,,
Jauri Custodio,(N/A),OF,H,FA,Free Agent,24.0,0.0,0.0,1.8,67.0,3010.0,0.0,0.0,34.65,42.77,8.12,1.8,-0.65,,,,,,0.0,12.0,,,,,,,,0.0,1.0,0.0,,
Nick Burdi,(N/A),RP,RP,FA,Free Agent,33.0,0.0,0.0,3.16,44.0,2199.0,0.0,0.0,34.56,20.58,-13.98,3.16,-0.37,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Colt Emerson,SEA,SS,H,Sasso,Reserve,21.0,84.0,1.75,1.75,72.0,556.0,48.0,1.0,34.48,80.58,46.1,1.75,-0.7,,,,,,32.0,17.0,5.0,,,,,,,0.0,1.0,32.0,,
Moises Ballesteros,CHC,UT,H,FA,Free Agent,22.0,99.0,1.68,1.68,49.0,483.0,58.93,1.0,34.44,39.78,5.34,1.68,-0.77,,,,,,0.0,12.0,,,,,,,,0.0,1.0,0.0,,
Clayton Kershaw,(N/A),SP,SP,FA,Free Agent,38.0,0.0,0.0,3.16,40.0,5283.0,0.0,0.0,34.44,12.8,-21.64,3.16,-5.11,0.0,9.41,,,,0.0,-13.0,,,,,,,,0.0,1.0,0.0,,
Brett Banks,(N/A),RP,RP,FA,Free Agent,24.0,0.0,0.0,3.16,43.0,1649.0,0.0,0.0,34.43,36.33,1.9,3.16,-0.37,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Jordyn Adams,(N/A),OF,H,FA,Free Agent,26.0,0.0,0.0,1.8,64.0,1224.0,0.0,0.0,34.26,36.02,1.76,1.8,-0.65,,,,,,0.0,6.0,,,,,,,,0.0,1.0,0.0,,
Estuar Suero,(N/A),OF,H,FA,Free Agent,20.0,0.0,0.0,1.8,63.0,8981.0,0.0,0.0,34.13,46.77,12.64,1.8,-0.65,,,,,,0.0,17.0,,,,,,,,0.0,1.0,0.0,,
Cal Quantrill,TEX,"SP,RP",SP/RP,FA,Free Agent,31.0,61.0,3.05,3.07,11.0,674.0,20.0,0.83,34.08,20.39,-13.7,3.07,-5.2,50.1,70.73,1.3,5.57,0.05,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Henry Davis,PIT,C,H,FA,Free Agent,26.0,109.0,1.7,1.7,13.0,438.0,64.12,1.0,34.05,27.99,-6.06,1.7,-0.75,,,,,,0.0,6.0,,,,,,,,0.0,1.0,0.0,,
Jeremiah Jackson,BAL,"2B,OF",H,FA,Free Agent,26.0,120.5,1.67,1.67,18.0,392.0,72.16,1.0,34.01,29.78,-4.22,1.67,-0.78,,,,,,0.0,6.0,,,,,,,,0.0,1.0,0.0,,
Sandro Gaston,(N/A),1B,H,FA,Free Agent,23.0,0.0,0.0,1.8,62.0,4088.0,0.0,0.0,34.0,41.52,7.52,1.8,-0.65,,,,,,0.0,12.0,,,,,,,,0.0,1.0,0.0,,
Ramon Ramirez,(N/A),OF,H,FA,Free Agent,21.0,0.0,0.0,1.8,62.0,7722.0,0.0,0.0,34.0,46.52,12.52,1.8,-0.65,,,,,,0.0,17.0,,,,,,,,0.0,1.0,0.0,,
Trent Thornton,CHC,RP,RP,FA,Free Agent,32.0,78.0,3.0,3.0,5.0,589.0,26.0,1.0,33.97,13.25,-20.73,3.0,-0.53,30.0,40.76,1.0,3.9,0.0,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
J.D. Martinez,(N/A),UT,H,FA,Free Agent,38.0,0.0,0.0,1.8,64.0,6032.0,0.0,0.0,33.86,17.8,-16.06,1.8,-0.65,,,,,,0.0,-12.0,,,,,,,,0.0,1.0,0.0,,
Marcelo Mayer,BOS,"2B,3B,SS",H,FA,Free Agent,23.0,103.0,1.47,1.47,52.0,463.0,70.07,1.0,33.85,40.4,6.55,1.47,-0.98,,,,,,0.0,12.0,,,,,,,,0.0,1.0,0.0,,
Gio Urshela,(N/A),3B,H,FA,Free Agent,34.0,0.0,0.0,1.8,54.0,9386.0,0.0,0.0,33.76,22.95,-10.81,1.8,-0.65,,,,,,0.0,-5.0,,,,,,,,0.0,1.0,0.0,,
Marcell Ozuna,PIT,UT,H,FA,Free Agent,35.0,106.0,1.71,1.71,29.0,450.0,61.99,1.0,33.75,12.47,-21.29,1.71,-0.74,,,,,,0.0,-12.0,,,,,,,,0.0,1.0,0.0,,
Patrick Corbin,TOR,SP,SP,FA,Free Agent,37.0,56.0,3.11,3.11,12.0,703.0,18.01,1.0,33.63,7.32,-26.31,3.11,-5.16,77.2,81.09,1.5,6.99,0.06,0.0,-13.0,,,,,,,,0.0,1.0,0.0,,
Jose Berrios,TOR,SP,SP,FA,Free Agent,32.0,0.0,0.0,3.16,33.0,1870.0,0.0,0.0,33.53,18.05,-15.48,3.16,-5.11,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Benny Montgomery,(N/A),OF,H,FA,Free Agent,23.0,0.0,0.0,1.8,58.0,6559.0,0.0,0.0,33.48,40.52,7.04,1.8,-0.65,,,,,,0.0,12.0,,,,,,,,0.0,1.0,0.0,,
Ramon Laureano,SD,OF,H,Kipp,Inj Res,32.0,112.5,2.12,2.12,40.0,425.0,53.07,1.0,33.29,14.7,-18.59,2.12,-0.33,,,,,,0.0,-5.0,,,,,,,,0.0,1.0,0.0,,
Trevor Story,BOS,SS,H,FA,Free Agent,33.0,67.5,1.65,1.66,57.0,634.0,40.91,0.91,33.18,23.18,-10.0,1.66,-0.79,,,,,,0.0,-5.0,,,,,,,,0.0,1.0,0.0,,
Colton Cowser,BAL,OF,H,FA,Free Agent,26.0,124.0,1.43,1.43,49.0,384.0,86.71,1.0,33.14,35.05,1.92,1.43,-1.02,,,,,,0.0,6.0,,,,,,,,0.0,1.0,0.0,,
T.J. McFarland,(N/A),RP,RP,FA,Free Agent,37.0,0.0,0.0,3.16,33.0,6190.0,0.0,0.0,33.13,10.83,-22.3,3.16,-0.37,0.0,9.41,,,,0.0,-13.0,,,,,,,,0.0,1.0,0.0,,
Brock Burke,CIN,RP,RP,FA,Free Agent,29.0,114.0,2.33,2.33,7.0,422.0,48.93,1.0,33.05,20.69,-12.36,2.33,-1.2,46.2,67.88,1.36,7.79,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Chris Taylor,(N/A),OF,H,FA,Free Agent,35.0,0.0,0.0,1.8,54.0,9093.0,0.0,0.0,32.96,15.52,-17.44,1.8,-0.65,,,,,,0.0,-12.0,,,,,,,,0.0,1.0,0.0,,
Ronel Blanco,HOU,SP,SP,FA,Free Agent,32.0,0.0,0.0,3.16,28.0,1942.0,0.0,0.0,32.88,16.8,-16.09,3.16,-5.11,0.0,9.41,,,,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Noble Meyer,MIA,SP,SP,FA,Free Agent,21.0,0.0,0.0,3.16,28.0,6400.0,0.0,0.0,32.88,36.8,3.91,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Tink Hence,STL,SP,SP,FA,Free Agent,23.0,0.0,0.0,3.16,28.0,4648.0,0.0,0.0,32.88,32.8,-0.09,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Jonathan Bowlan,PHI,RP,RP,FA,Free Agent,29.0,90.0,2.65,2.65,11.0,531.0,33.96,1.0,32.87,19.73,-13.14,2.65,-0.88,31.2,43.7,1.09,10.96,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Adolis Garcia,PHI,OF,H,FA,Free Agent,33.0,105.0,1.57,1.57,42.0,454.0,66.88,1.0,32.83,21.23,-11.6,1.57,-0.88,,,,,,0.0,-5.0,,,,,,,,0.0,1.0,0.0,,
Aaron Civale,CHC,SP,SP,FA,Free Agent,31.0,47.0,2.94,2.94,25.0,748.0,15.99,1.0,32.68,22.15,-10.53,2.94,-5.33,74.2,79.88,1.63,7.04,0.06,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Shane Bieber,TOR,SP,SP,FA,Free Agent,31.0,11.0,2.2,2.72,74.0,1005.0,5.0,0.45,32.62,30.93,-1.68,2.72,-5.55,23.2,34.11,1.77,7.37,0.2,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Tejay Antone,CIN,RP,RP,FA,Free Agent,32.0,82.0,2.83,2.83,4.0,563.0,28.98,1.0,32.61,12.33,-20.28,2.83,-0.7,29.0,39.55,0.9,8.07,0.0,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Enyel De Los Santos,HOU,RP,RP,FA,Free Agent,30.0,104.0,2.42,2.42,10.0,461.0,42.98,1.0,32.55,20.17,-12.37,2.42,-1.11,45.2,66.75,1.22,8.36,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Braylon Doughty,CLE,SP,SP,FA,Free Agent,20.0,0.0,0.0,3.16,24.0,3403.0,0.0,0.0,32.36,35.8,3.43,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Ty Johnson,TB,SP,SP,FA,Free Agent,24.0,0.0,0.0,3.16,24.0,5155.0,0.0,0.0,32.36,31.8,-0.57,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Noelvi Marte,CIN,OF,H,JMerkle,Reserve,24.0,76.5,1.78,1.78,61.0,594.0,42.98,0.96,32.32,40.43,8.11,1.78,-0.67,,,,,,0.0,12.0,,,,,,,,0.0,1.0,0.0,,
Daniel Schneemann,CLE,"2B,3B,OF",H,FA,Free Agent,29.0,122.0,1.52,1.52,21.0,390.0,80.26,1.0,32.18,23.38,-8.8,1.52,-0.93,,,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Lucas Erceg,KC,RP,RP,FA,Free Agent,31.0,89.0,2.22,2.22,37.0,535.0,40.09,1.0,32.15,24.02,-8.13,2.22,-1.31,38.1,54.32,1.71,6.38,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Matt Vierling,DET,OF,H,FA,Free Agent,29.0,133.0,1.58,1.58,9.0,351.0,84.18,1.0,32.14,21.97,-10.16,1.58,-0.87,,,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Michael Forret,TB,SP,SP,FA,Free Agent,22.0,0.0,0.0,3.16,22.0,3843.0,0.0,0.0,32.1,35.3,3.19,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Kristian Campbell,BOS,2B,H,FA,Free Agent,24.0,0.0,0.0,1.8,44.0,2342.0,0.0,0.0,32.06,37.23,5.17,1.8,-0.65,,,,,,0.0,12.0,,,,,,,,0.0,1.0,0.0,,
Ben Williamson,TB,"2B,3B,SS,RP",RP,FA,Free Agent,25.0,124.0,1.75,1.75,12.0,387.0,70.86,1.0,32.0,31.72,-0.28,1.75,-1.78,,,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Cody Bradford,TEX,"SP,RP",SP/RP,FA,Free Agent,28.0,0.0,0.0,3.16,18.0,2052.0,0.0,0.0,31.98,25.51,-6.47,3.16,-5.11,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Luis Perales,WSH,"SP,RP",SP/RP,FA,Free Agent,23.0,0.0,0.0,3.16,18.0,7314.0,0.0,0.0,31.98,30.51,-1.47,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Tanner Franklin,STL,SP,SP,FA,Free Agent,22.0,0.0,0.0,3.16,21.0,3894.0,0.0,0.0,31.97,35.04,3.07,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Miguel Sime,WSH,SP,SP,FA,Free Agent,19.0,0.0,0.0,3.16,21.0,8682.0,0.0,0.0,31.97,35.04,3.07,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Caden Dana,LAA,SP,SP,FA,Free Agent,22.0,0.0,0.0,3.16,21.0,3035.0,0.0,0.0,31.97,35.04,3.07,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Angel Genao,CLE,"3B,SS",H,FA,Free Agent,22.0,0.0,0.0,1.8,34.0,4106.0,0.0,0.0,31.96,61.38,29.42,1.8,-0.65,,,,,,26.0,12.0,44.0,,,,,,,0.0,1.0,26.0,,
Joey Ortiz,MIL,"3B,SS",H,FA,Free Agent,28.0,125.0,1.45,1.45,23.0,381.0,86.21,1.0,31.93,23.78,-8.15,1.45,-1.0,,,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Jose Fernandez,ARI,"1B,SS",H,FA,Free Agent,22.0,94.0,1.71,1.71,20.0,506.0,54.97,1.0,31.91,32.83,0.92,1.71,-0.74,,,,,,0.0,12.0,,,,,,,,0.0,1.0,0.0,,
Steven Matz,TB,"SP,RP",SP/RP,FA,Free Agent,35.0,42.0,2.8,2.93,21.0,769.0,15.0,0.63,31.91,8.01,-23.9,2.93,-5.34,53.0,73.23,1.4,6.96,0.2,0.0,-13.0,,,,,,,,0.0,1.0,0.0,,
Mick Abel,MIN,SP,SP,Jpanner,Inj Res,24.0,32.0,8.0,4.92,55.0,833.0,4.0,0.36,31.9,30.13,-1.78,4.92,-3.35,20.1,31.43,1.59,10.3,0.5,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Luis De Leon,BAL,SP,SP,FA,Free Agent,23.0,0.0,0.0,3.16,20.0,3172.0,0.0,0.0,31.84,30.79,-1.05,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
DJ Herz,WSH,SP,SP,FA,Free Agent,25.0,0.0,0.0,3.16,20.0,4794.0,0.0,0.0,31.84,30.79,-1.05,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Luis Rengifo,SD,"2B,3B",H,FA,Free Agent,29.0,101.0,1.68,1.68,13.0,474.0,60.12,1.0,31.72,20.01,-11.71,1.68,-0.77,,,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Hayden Birdsong,SF,"SP,RP",SP/RP,FA,Free Agent,24.0,0.0,0.0,3.16,16.0,1917.0,0.0,0.0,31.72,30.01,-1.71,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Khal Stephen,CLE,SP,SP,FA,Free Agent,23.0,0.0,0.0,3.16,19.0,8894.0,0.0,0.0,31.71,30.54,-1.17,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Kevin Defrank,MIA,SP,SP,FA,Free Agent,17.0,0.0,0.0,3.16,19.0,3237.0,0.0,0.0,31.71,34.54,2.83,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Henry Lalane,NYY,SP,SP,FA,Free Agent,22.0,0.0,0.0,3.16,19.0,5442.0,0.0,0.0,31.71,34.54,2.83,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Briggs McKenzie,ATL,SP,SP,FA,Free Agent,19.0,0.0,0.0,3.16,19.0,6222.0,0.0,0.0,31.71,34.54,2.83,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Dasan Hill,MIN,SP,SP,FA,Free Agent,20.0,0.0,0.0,3.16,19.0,4830.0,0.0,0.0,31.71,34.54,2.83,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Gavin Stone,LAD,SP,SP,FA,Free Agent,27.0,0.0,0.0,3.16,19.0,8929.0,0.0,0.0,31.71,25.54,-6.17,3.16,-5.11,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Chase Solesky,TB,SP,SP,FA,Free Agent,28.0,3.0,0.0,3.16,0.0,1119.0,0.0,0.0,31.61,22.07,-9.54,3.16,-5.11,3.0,19.26,2.33,12.0,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Gage Stanifer,TOR,"SP,RP",SP/RP,FA,Free Agent,22.0,0.0,0.0,3.16,15.0,8869.0,0.0,0.0,31.59,33.76,2.17,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Riley Quick,MIN,SP,SP,FA,Free Agent,22.0,0.0,0.0,3.16,18.0,7651.0,0.0,0.0,31.58,34.29,2.71,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Zach Root,LAD,SP,SP,FA,Free Agent,22.0,0.0,0.0,3.16,18.0,8175.0,0.0,0.0,31.58,34.29,2.71,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Alejandro Rosario,WSH,SP,SP,FA,Free Agent,24.0,0.0,0.0,3.16,18.0,8188.0,0.0,0.0,31.58,30.29,-1.29,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Charlee Soto,MIN,SP,SP,FA,Free Agent,20.0,0.0,0.0,3.16,18.0,8820.0,0.0,0.0,31.58,34.29,2.71,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Jonathan Santucci,NYM,SP,SP,FA,Free Agent,23.0,0.0,0.0,3.16,18.0,8447.0,0.0,0.0,31.58,30.29,-1.29,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Kutter Crawford,BOS,SP,SP,FA,Free Agent,30.0,0.0,0.0,3.16,18.0,2904.0,0.0,0.0,31.58,20.29,-11.29,3.16,-5.11,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Yennier Cano,BAL,RP,RP,FA,Free Agent,32.0,99.0,2.3,2.3,18.0,486.0,43.04,1.0,31.55,14.58,-16.97,2.3,-1.23,32.0,44.3,1.03,7.88,0.0,0.0,-6.0,,,,,,,,0.0,1.0,0.0,,
Roman Anthony,BOS,OF,H,GoldTY,Inj Res,22.0,60.5,2.02,1.95,94.0,676.0,29.95,0.67,31.53,38.95,7.42,1.95,-0.5,,,,,,0.0,12.0,,,,,,,,0.0,1.0,0.0,,
Mishael Deson,(N/A),OF,H,FA,Free Agent,24.0,0.0,0.0,1.8,43.0,3274.0,0.0,0.0,31.53,36.77,5.24,1.8,-0.65,,,,,,0.0,12.0,,,,,,,,0.0,1.0,0.0,,
Brandon Clarke,STL,SP,SP,FA,Free Agent,23.0,0.0,0.0,3.16,17.0,2694.0,0.0,0.0,31.45,30.04,-1.41,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
David Shields,KC,SP,SP,FA,Free Agent,19.0,0.0,0.0,3.16,17.0,8626.0,0.0,0.0,31.45,34.04,2.59,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
David Festa,MIN,SP,SP,FA,Free Agent,26.0,0.0,0.0,3.16,17.0,3740.0,0.0,0.0,31.45,25.04,-6.41,3.16,-5.11,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Alex Clemmey,WSH,SP,SP,FA,Free Agent,21.0,0.0,0.0,3.16,17.0,2708.0,0.0,0.0,31.45,34.04,2.59,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Ramon Marquez,PHI,SP,SP,FA,Free Agent,19.0,0.0,0.0,3.16,17.0,5968.0,0.0,0.0,31.45,34.04,2.59,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Ronny Henriquez,MIA,RP,RP,FA,Free Agent,26.0,0.0,0.0,3.16,20.0,4664.0,0.0,0.0,31.44,25.58,-5.86,3.16,-0.37,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Brant Hurter,DET,RP,RP,FA,Free Agent,27.0,61.0,2.9,2.93,8.0,673.0,21.03,0.88,31.33,23.36,-7.97,2.93,-0.6,25.1,34.89,1.08,6.45,0.0,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Bobby Miller,LAD,"SP,RP",SP/RP,FA,Free Agent,27.0,0.0,0.0,3.16,13.0,6438.0,0.0,0.0,31.33,24.26,-7.07,3.16,-5.11,0.0,9.41,,,,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Santiago Suarez,TB,SP,SP,FA,Free Agent,21.0,0.0,0.0,3.16,16.0,8977.0,0.0,0.0,31.32,33.79,2.47,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Bishop Letson,MIL,SP,SP,FA,Free Agent,21.0,0.0,0.0,3.16,16.0,5595.0,0.0,0.0,31.32,33.79,2.47,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Esteban Mejia,BAL,SP,SP,FA,Free Agent,19.0,0.0,0.0,3.16,16.0,6283.0,0.0,0.0,31.32,33.79,2.47,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Justin Foscue,TEX,"1B,2B",H,FA,Free Agent,27.0,87.0,1.78,1.78,13.0,542.0,48.88,1.0,31.31,25.25,-6.06,1.78,-0.67,,,,,,0.0,6.0,,,,,,,,0.0,1.0,0.0,,
Edouard Julien,COL,"1B,2B",H,FA,Free Agent,27.0,125.5,1.55,1.55,12.0,378.0,80.97,1.0,31.31,27.53,-3.78,1.55,-0.9,,,,,,0.0,6.0,,,,,,,,0.0,1.0,0.0,,
Kyle Hurt,LAD,"SP,RP",SP/RP,FA,Free Agent,28.0,82.0,2.48,2.48,11.0,565.0,33.06,1.0,31.3,23.88,-7.42,2.48,-5.79,33.1,46.37,1.39,10.6,0.0,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Josh Owens,TEX,"SS,SP",SP,FA,Free Agent,19.0,0.0,0.0,3.16,9.0,7089.0,0.0,0.0,31.21,32.47,1.26,3.16,-5.11,,,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Tyler Kinley,ATL,RP,RP,FA,Free Agent,35.0,95.0,2.44,2.44,10.0,499.0,38.93,1.0,31.21,5.69,-25.52,2.44,-1.09,34.0,47.67,1.26,9.26,0.0,0.0,-13.0,,,,,,,,0.0,1.0,0.0,,
Chase Hampton,NYY,SP,SP,FA,Free Agent,24.0,0.0,0.0,3.16,15.0,4542.0,0.0,0.0,31.19,29.54,-1.65,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
T.J. Nichols,TB,SP,SP,FA,Free Agent,24.0,0.0,0.0,3.16,15.0,6827.0,0.0,0.0,31.19,29.54,-1.65,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Tanner Houck,BOS,SP,SP,FA,Free Agent,30.0,0.0,0.0,3.16,15.0,4925.0,0.0,0.0,31.19,19.54,-11.65,3.16,-5.11,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Yohandy Morales,WSH,"1B,3B",H,FA,Free Agent,24.0,0.0,0.0,1.8,34.0,6608.0,0.0,0.0,31.16,34.95,3.79,1.8,-0.65,,,,,,0.0,12.0,,,,,,,,0.0,1.0,0.0,,
Triston Casas,BOS,1B,H,FA,Free Agent,26.0,0.0,0.0,1.8,40.0,2457.0,0.0,0.0,31.14,30.02,-1.12,1.8,-0.65,,,,,,0.0,6.0,,,,,,,,0.0,1.0,0.0,,
JT Quinn,BAL,"SP,RP",SP/RP,FA,Free Agent,22.0,0.0,0.0,3.16,11.0,7655.0,0.0,0.0,31.07,32.76,1.69,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
AJ Russell,TEX,SP,SP,FA,Free Agent,22.0,0.0,0.0,3.16,14.0,8268.0,0.0,0.0,31.06,33.29,2.23,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Patrick Forbes,ARI,SP,SP,FA,Free Agent,22.0,0.0,0.0,3.16,14.0,3833.0,0.0,0.0,31.06,33.29,2.23,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
Christian Oppor,CHW,SP,SP,FA,Free Agent,21.0,0.0,0.0,3.16,14.0,7005.0,0.0,0.0,31.06,33.29,2.23,3.16,-5.11,0.0,9.41,,,,0.0,14.0,,,,,,,,0.0,1.0,0.0,,
David Davalillo,TEX,SP,SP,FA,Free Agent,25.0,0.0,0.0,3.16,14.0,3060.0,0.0,0.0,31.06,29.29,-1.77,3.16,-5.11,0.0,9.41,,,,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Gavin Fien,WSH,"3B,SS",H,FA,Free Agent,19.0,0.0,0.0,1.8,27.0,3746.0,0.0,0.0,31.05,38.63,7.58,1.8,-0.65,,,,,,0.0,17.0,,,,,,,,0.0,1.0,0.0,,
A.J. Puk,ARI,RP,RP,FA,Free Agent,31.0,0.0,0.0,3.16,17.0,7633.0,0.0,0.0,31.05,19.83,-11.22,3.16,-0.37,0.0,9.41,,,,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
